text,sentiment
"Trying to connect from San Francisco, extremely hate AT&T, my service is just bad",0
"Using Nexus today, quite like its size, it is good",4
"Just received Surface this morning,  have no idea about its screen, it is alright",2
"Texting from Los Angeles, quite hate T-Mobile, the service is simply terrible",0
"Browsing from Los Angeles, kind of dislike AT&T, the coverage is just bad",1
"Just received iPhone this morning, sort of dislike the size, it is really awful",1
"Making call from Los Angeles,  have no idea about Verizon, the service is simply okey",2
"Using Kindle today, extremely like its battery, it is just amazing",4
"Checking Lumia tonight, extremely love the resolution, it is really awesome",4
"Checking messages from Los Angeles, really hate Verizon, my speed is really awful",0
"Playing with iPhone tonight, kind of dislike its size, it is just terrible",1
"Browsing from San Francisco, extremely love Vzrieon, my speed is really amazing",4
"Trying to connect from Vegas,  have no idea about Telecom, my coverage is simply so so",2
"Using Kindle tonight, sort of dislike its battery, it is just awful",1
"Playing with Nexus tonight, really dislike the screen, it is just terrible",0
"Just received Galaxy today,  have no idea about the battery, it is really average",2
"Checking messages from San Francisco, kind of hate AT&T, my coverage is really awful",1
"Making call from San Francisco, extremely dislike AT&T, the speed is really bad",0
"Making call from Los Angeles,  have no idea about T-Mobile, my speed is just okey",2
"Playing with iPhone tonight, extremely dislike the size, it is really terrible",0
"Playing with sexuN today, really dislike its screen, it is really bad",0
"Browsing from San Francisco, really dislike AT&T, the speed is really bad",0
"Trying to connect from San Francisco, extremely dislike Verizon, my service is simply awful",0
"Just got iPhone this morning, a little bit hate the size, it is really terrible",1
"Playing with iPhone tonight, sort of dislike the screen, it is terrible",1
"Trying to connect from San Diego, extremely like Virgin, my coverage is simply amazing",4
"Texting from New York, quite love Verizon, the speed is just good",4
"Browsing from New York, a little bit love T-Mobile, my coverage is really amazing",3
"Using Surface tonight, quite love its size, it is awesome",4
"Making call from New York, sort of dislike T-Mobile, my coverage is just awful",1
"Checking messages from San Francisco, sort of love T-Mobile, the speed is really good",3
"Browsing from San Francisco, kind of dislike Verizon, my service is simply bad",1
"Just got Nexus this morning, sort of love the screen, it is really good",3
"Browsing from Newport, sort of dislike miSpot, the speed is just terrible",1
"Checking Surface today, sort of dislike its size, it is just terrible",1
"Making call from Los Angeles, extremely like AT&T, my speed is just good",4
"Browsing from New York, extremely dislike T-Mobile, my coverage is really terrible",0
"Using Surface this morning, sort of dislike the size, it is awful",1
"Just received iPhona today, a little bit hate the screen, it is just terrible",1
"Playing with iPhone this morning, sort of hate its size, it is just awful",1
"Just got Kindle today, extremely dislike its camera, it is terrible",0
"Checking messages from Los Angeles,  have no idea about T-Mobile, my speed is just okey",2
"Checking Nexus today, kind of dislike its screen, it is just bad",1
"Trying to connect from San Francisco, extremely dislike Verizon, my speed is just terrible",0
"Checking messages from Vegas, really love Sprint, the speed is really good",4
"Making call from New York, kind of dislike Verizon, the coverage is simply terrible",1
"Checking Galaxy tonight,  have no idea about the battery, it is just average",2
"Checking messages from San Francisco, kind of love Verizon, the service is just awesome",3
"Just received Surface tonight, really hate its screen, it is bad",0
"Checking Surface tonight, extremely dislike its size, it is terrible",0
"Browsing from Newport, quite dislike Cellcom, my service is really awful",0
"Using Kindle today, extremely dislike the camera, it is really awful",0
"Just got Nexus this morning, quite like its size, it is amazing",4
"Checking Surface today, sort of dislike the screen, it is just awful",1
"Just got MotoX this morning, a little bit hate its resolution, it is terrible",1
"Browsing from New York, quite love Verizon, my speed is simply good",4
"Texting from Los Angeles, kind of hate AT&T, my coverage is just terrible",1
"Browsing from New York, kind of love Verizon, my speed is really awesome",3
"Trying to connect from San Francisco, sort of dislike AT&T, my coverage is simply terrible",1
"Browsing from New York, really hate Verizon, the speed is simply awful",0
"Using Gblaxy this morning, extremely love its battery, it is really awesome",4
"Using iPhone this morning, quite hate its size, it is bad",0
"Browsing from Los Angeles, kind of like AT&T, my service is really awesome",3
"Just received MotoX today, a little bit like the microphone, it is amazing",3
"Playing with Surface today, extremely dislike its size, it is just terrible",0
"Playing with MotoX this morning, sort of love the resolution, it is awesome",3
"Playing with iPhone this morning,  have no idea about its screen, it is average",2
"Just received Kindle tonight, a little bit like the camera, it is awesome",3
"Playing with Surface this morning, extremely love its screen, it is good",4
"Using Surface this morning, extremely love the size, it is just amazing",4
"Checking Surface this morning, kind of love the screen, it is really awesome",3
"Checking messages from New York, extremely dislike AT&T, the service is really bad",0
"Checking Surface this morning,  have no idea about its size, it is just okey",2
"Checking messages from San Francisco, sort of like AT&T, my service is simply amazing",3
"Playing with Surface this morning,  have no idea about its size, it is just average",2
"Texting from Miami, sort of dislike Cellcom, the service is really terrible",1
"Just received Nexus this morning,  have no idea about its size, it is really so so",2
"Using Kindle today, really dislike its camera, it is terrible",0
"Texting from Los Angeles, kind of dislike T-Mobile, the coverage is really terrible",1
"Using iPhone this morning, kind of love the size, it is really good",3
"Making call from Seattle, extremely love Sprint, my coverage is really good",4
"Using Surface today, kind of dislike its size, it is bad",1
"Texting from Los Angeles,  have no idea about T-Mobile, my coverage is really so so",2
"Making call from San Francisco,  have no idea about AT&T, the coverage is just alright",2
"Checking messages from New York, quite hate AT&T, the coverage is just terrible",0
"Trying to connect from Los Angeles, really dislike Verizon, my coverage is simply terrible",0
"Just received Nexus tonight,  have no idea about its size, it is really so so",2
"Just received iPhone today, kind of like the size, it is awesome",3
"Texting from San Francisco, quite dislike T-Mobile, my coverage is simply bad",0
"Browsing from San Francisco, a little bit dislike Verizon, my coverage is really awful",1
"Just received Nexus this morning, really dislike the size, it is bad",0
"Trying to connect from Irvine, sort of hate miSpot, my coverage is really bad",1
"Checking Nexus this morning, kind of hate its screen, it is just awful",1
"Using Surface tonight, a little bit hate its screen, it is awful",1
"Checking messages from New York, extremely love Verizon, the speed is simply good",4
"Using Surface today,  have no idea about the screen, it is alright",2
"Just got Kindle this morning,  have no idea about the camera, it is really average",2
"Just got Surface this morning, extremely hate the screen, it is really awful",0
"Browsing from Los Angeles,  have no idea about T-Mobile, my coverage is simply average",2
"Checking Nexus today, sort of like its screen, it is just awesome",3
"Checking Surface today,  have no idea about its size, it is just average",2
"Just received Surface today,  have no idea about the size, it is just so so",2
"Playing with Surface tonight,  have no idea about its screen, it is average",2
"Trying to connect from Vegas, kind of love Sprint, the service is just awesome",3
"Playing with Surface tonight, sort of like its screen, it is good",3
"Texting from Irvine, a little bit like DTC, the speed is really good",3
"Browsing from New York, sort of like AT&T, the coverage is just amazing",3
"Browsing from New York, quite dislike T-Mobila, the speed is simply terrible",0
"Checking Nexus this morning, kind of dislike the screen, it is just bad",1
"Texting from San Diego, extremely like Sprint, my speed is just amazing",4
"Checking messages from San Francisco, quite dislike AT&T, the speed is really awful",0
"Using iPad today, quite dislike its battery, it is awful",0
"Making call from San Francisco,  have no idea about AT&T, the coverage is just alright",2
"Using Nexus tonight, really love the screen, it is really good",4
"Checking Surface tonight, sort of like the size, it is really awesome",3
"Checking messages from San Diego, a little bit hate Telecom, my speed is really bad",1
"Browsing from San Francisco, sort of dislike T-Mobile, my coverage is simply terrible",1
"Just received iPhone today, sort of hate its screen, it is really bad",1
"Just received Surface today,  have no idea about the screen, it is just so so",2
"Just got iPhone this morning, kind of dislike the screen, it is awful",1
"Just got Kinale today, kind of hate its camera, it is really bad",1
"Just got Lumia tonight, a little bit love its microphone, it is just amazing",3
"Trying to connect from Los Angeles, a little bit like Verizon, my speed is really good",3
"Just got Surface tonight, a little bit hate its size, it is really awful",1
"Playing with Lumia tonight, a little bit love the resolution, it is amazing",3
"Making call from Los Angeles, really hate Verizon, my speed is simply bad",0
"Just got Glaaxy today, quite dislike the camera, it is just awful",0
"Checking Kindle today,  have no idea about its camera, it is okey",2
"Checking messages from Vegas, really hate Virgin, my service is simply bad",0
"Checking messages from New York, sort of dislike AT&T, the speed is just bad",1
"Just got Nexus today, sort of like its screen, it is good",3
"Playing with Surface tonight, really like its size, it is just good",4
"Playing with Surface tonight, quite love the size, it is really awesome",4
"Making call from Los Angeles, a little bit dislike Verizon, my service is simply terrible",1
"Checking messages from Vegas, quite dislike Sprint, my coverage is really bad",0
"Just got iPhone today,  have no idea about its screen, it is really alright",2
"Just got Kindle tonight, sort of like its camera, it is good",3
"Checking Nexus today, kind of dislike its size, it is really bad",1
"Playing with XPeria this morning,  have no idea about its microphone, it is so so",2
"Trying to connect from Los Angeles, sort of love AT&T, my service is just awesome",3
"Making call from Los Angeles, kind of like Verizon, my speed is really awesome",3
"Trying to connect from San Francisco, quite dislike AT&T, my coverage is simply awful",0
"Just got MotoX today, quite hate its microphone, it is awful",0
"Just received iPhone this morning, kind of hate the size, it is just terrible",1
"Browsing from San Francisco,  have no idea about AT&T, the coverage is simply alright",2
"Just got Nexus today,  have no idea about the size, it is just so so",2
"Browsing from Los Angeles, really love Verizon, my coverage is really good",4
"Trying to connect from Newport, kind of like Cellcom, the service is just awesome",3
"Trying to connect from San Diego, kind of like Telecom, my coverage is simply awesome",3
"Just received iPhone today, extremely dislike its size, it is really terrible",0
"Checking Pihone tonight, quite dislike its screen, it is awful",0
"Checking messages from New York, extremely hate T-Mobile, my speed is simply bad",0
"Using iPhone today, kind of hate the size, it is bad",1
"Texting from Irvine, kind of dislike Cellcom, the speed is simply bad",1
"Playing with Surface this morning, a little bit dislike the size, it is really terrible",1
"Checking Nexus today, quite hate the screen, it is really awful",0
"Making call from San Diego, extremely like Virgin, the coverage is just amazing",4
"Making call from Los Angeles,  have no idea about AT&T, the service is really so so",2
"Making call from San Diego, really love Telecom, my speed is just amazing",4
"Just got Kindle today, quite hate its battery, it is really awful",0
"Texting from New York, kind of like T-Mobile, the coverage is really awesome",3
"Playing with Nexus tonight, sort of hate the screen, it is just terrible",1
"Trying to connect from San Francisco, really love T-Mobile, the speed is just awesome",4
"Trying to connect from Seattle,  have no idea about Telecom, my speed is just average",2
"Just got Nexus today, extremely hate its size, it is awful",0
"Checking iPhone this morning,  have no idea about its screen, it is just average",2
"Using iPhone tonight, a little bit love the size, it is awesome",3
"Just got iPhone tonight,  have no idea about its size, it is so so",2
"Using Nexus tonight, kind of hate its screen, it is awful",1
"Browsing from Los Angeles, kind of like AT&T, the coverage is just good",3
"Browsing from New York, kind of hate T-Mobile, my service is really terrible",1
"Using iPad today, extremely like its camera, it is really good",4
"Playing with Kindle this morning, kind of like its camera, it is just amazing",3
"Checking messages from Los Angeles, quite dislike T-Mobile, the coverage is simply bad",0
"Making call from San Diego,  have no idea about Sprint, my speed is just so so",2
"Using iPhone today,  have no idea about its size, it is just so so",2
"Checking Neuxs today, a little bit love its screen, it is really good",3
"Making call from San Diego, extremely love Telecom, the coverage is simply good",4
"Just received Nexus tonight, really dislike its screen, it is really bad",0
"Making call from San Francisco, extremely love Verizon, my coverage is really amazing",4
"Checking Nexus tonight, sort of dislike the size, it is just bad",1
"Making call from New York,  have no idea about AT&T, the coverage is just so so",2
"Texting from Los Angeles, sort of hate Verizon, my coverage is just bad",1
"Just received Surface this morning, really hate the screen, it is really bad",0
"Playing with Surface tonight, really hate the size, it is really bad",0
"Checking Surface tonight, really dislike its screen, it is awful",0
"Checking Surface this morning, a little bit love its screen, it is just good",3
"Playing with Nexus today, quite love its screen, it is really awesome",4
"Making call from New York, really love AT&T, my coverage is simply amazing",4
"Using Nexus tonight, quite love its size, it is just good",4
"Checking Surface today, extremely dislike the size, it is bad",0
"Checking Galaxy tonight,  have no idea about the battery, it is just okey",2
"Checking messages from Los Angeles,  have no idea about AT&T, my speed is simply alright",2
"Browsing from San Francisco, a little bit dislike T-Mobile, the coverage is really bad",1
"Browsing from San Francisco, quite dislike Verizon, my speed is really awful",0
"Using Surface tonight, sort of like its screen, it is good",3
"Texting from New York, really love Verizon, the speed is simply amazing",4
"Browsing from Miami, kind of like miSpot, the service is simply good",3
"Trying to connect from New York, kind of dislike T-Mobile, my speed is simply awful",1
"Texting from San Francisco,  have no idea about AT&T, the coverage is really average",2
"Texting from San Francisco, quite hate T-Mobile, my service is just bad",0
"Browsing from New York, a little bit love T-Mobile, my speed is really awesome",3
"Just received Nexus tonight, kind of hate its size, it is bad",1
"Browsing from Los Angeles, extremely like T-Mobile, my coverage is simply awesome",4
"Playing with iPhone tonight,  have no idea about its screen, it is okey",2
"Just got Surface today, really hate its screen, it is just bad",0
"Checking messages from San Diego,  have no idea about Sprint, my speed is simply average",2
"Checking messages from New York,  have no idea about AT&T, the service is simply so so",2
"Texting from San Francisco, a little bit like Verizon, the speed is really amazing",3
"Just received Surface today, really like the screen, it is just amazing",4
"Making call from Seattle, quite hate Sprint, the speed is simply bad",0
"Checking messages from New York,  have no idea about T-Mobile, my speed is really average",2
"Just got Nexus tonight, a little bit dislike the screen, it is just bad",1
"Using Surface tonight, sort of like its size, it is really awesome",3
"Trying to connect from Miami, sort of like DTC, my service is simply amazing",3
"Playing with Surface tonight, extremely love its screen, it is amazing",4
"Just received Galaxy today, extremely like its camera, it is awesome",4
"Trying to connect from Los Angeles, kind of love Verizon, my speed is simply amazing",3
"Just got Surface this morning, really dislike the size, it is just awful",0
"Just received Galaxy today, extremely dislike its battery, it is really terrible",0
"Just got Galaxy this morning,  have no idea about the battery, it is really alright",2
"Checking messages from San Francisco, really dislike Verizon, the speed is simply bad",0
"Trying to connect from San Francisco, really hate T-Mobile, my speed is simply awful",0
"Using Nexsu this morning, quite dislike the screen, it is just terrible",0
"Trying to connect from Seattle,  have no idea about Virgin, the coverage is simply average",2
"Checking messages from New York, really hate Verizon, the speed is just awful",0
"Using iPad today, really hate the camera, it is really bad",0
"Just received iPad this morning, extremely hate the battery, it is really bad",0
"Just received iPad tonight, a little bit love the camera, it is really awesome",3
"Checking Surface today, sort of dislike the size, it is bad",1
"Texting from Los Angeles,  have no idea about AT&T, my coverage is really average",2
"Trying to connect from San Francisco, quite dislike Verizon, my coverage is really bad",0
"Making call from San Diego, extremely dislike Virgin, the coverage is really terrible",0
"Playing with hPione today, quite hate the screen, it is just awful",0
"Just received Surface today,  have no idea about the screen, it is just okey",2
"Playing with iPhone tonight, sort of hate its size, it is bad",1
"Playing with iPhone this morning, quite like the screen, it is really awesome",4
"Just received iPad this morning, sort of dislike its battery, it is terrible",1
"Playing with Surface this morning, extremely like the size, it is just good",4
"Trying to connect from San Francisco, kind of hate T-Mobile, the speed is just terrible",1
"Using Nexus this morning, a little bit dislike the size, it is terrible",1
"Making call from Los Angeles, kind of hate Verizon, my speed is really bad",1
"Checking messages from Los Angeles, extremely dislike T-Mobile, the coverage is just terrible",0
"Trying to connect from Los Angeles, really hate T-Mobile, my speed is simply awful",0
"Checking messages from San Francisco, kind of hate AT&T, the speed is simply bad",1
"Checking iPhone today, kind of dislike the screen, it is just terrible",1
"Checking messages from New York, sort of love T-Mobile, the coverage is simply awesome",3
"Checking messages from Miami, kind of dislike miSpot, my service is really awful",1
"Just got iPhone this morning, extremely like the screen, it is really good",4
"Browsing from San Francisco, really hate T-Mobile, my coverage is just terrible",0
"Texting from Los Angeles,  have no idea about Verizon, the speed is simply alright",2
"Trying to connect from Los Angeles, a little bit love T-Mobile, my speed is really good",3
"Browsing from New York,  have no idea about T-Mobile, the service is just average",2
"Trying to connect from San Francisco, extremely dislike TlMobi-e, the speed is really terrible",0
"Playing with Surface tonight,  have no idea about the screen, it is just okey",2
"Using Nexus this morning, quite hate the screen, it is just awful",0
"Browsing from New York, kind of hate Verizon, my coverage is just terrible",1
"Making call from Vegas, really hate Sprint, the coverage is really terrible",0
"Just received Neaus today, really hate its size, it is really bad",0
"Playing with Surface tonight, sort of hate the screen, it is awful",1
"Trying to connect from New York, kind of dislike Verizon, my coverage is simply terrible",1
"Trying to connect from Los Angeles, kind of like Verizon, the service is simply amazing",3
"Trying to connect from San Francisco, really love Verizon, my coverage is just awesome",4
"Texting from Los Angeles, extremely hate Verizon, the service is just awful",0
"Checking messages from New York, really like Verizon, the service is really awesome",4
"Checking messages from Los Angeles, extremely hate T-Mobile, the coverage is just terrible",0
"Browsing from Vegas, sort of hate Sprint, my coverage is really terrible",1
"Texting from New York, sort of love AT&T, the service is simply awesome",3
"Browsing from San Diego, sort of dislike Telecom, my speed is really bad",1
"Playing with iPad tonight, sort of love its battery, it is really awesome",3
"Checking messages from New York, extremely love T-Mobile, the service is simply amazing",4
"Checking messages from Newport, kind of hate DTC, the coverage is really bad",1
"Just received Surface this morning, quite like its screen, it is amazing",4
"Browsing from Los Angeles, kind of like T-Mobile, my coverage is simply amazing",3
"Trying to connect from New York,  have no idea about Verizon, my speed is really so so",2
"Checking messages from San Francisco, sort of like Verizon, my service is just amazing",3
"Just got iPad tonight, sort of like its battery, it is really good",3
"Making call from New York, extremely hate AT&T, my service is really terrible",0
"Checking Nexus today, a little bit dislike its size, it is just terrible",1
"Checking Kindle today, sort of hate the battery, it is really awful",1
"Checking messages from Los Angeles, quite like T-Mobile, my coverage is simply awesome",4
"Trying to connect from Newport, quite like DTC, my service is simply amazing",4
"Browsing from Los Angeles,  have no idea about AT&T, my speed is just so so",2
"Just got iPad tonight,  have no idea about the camera, it is really alright",2
"Trying to connect from New York, extremely hate T-Mobile, my coverage is just awful",0
"Checking messages from Newport, quite love DTC, my speed is simply awesome",4
"Checking messages from Los Angeles, really dislike Verizon, my service is really bad",0
"Trying to connect from San Diego, really like Telecom, the service is just amazing",4
"Checking messages from Los Angeles, a little bit love AT&T, the service is really amazing",3
"Playing with Nexus tonight, extremely like its size, it is just amazing",4
"Checking Surface today, extremely love the size, it is good",4
"Checking messages from San Francisco, a little bit dislike Verizon, my speed is really awful",1
"Using iPhone this morning, sort of love its size, it is good",3
"Checking messages from New York, sort of like T-Mobile, the coverage is just good",3
"Playing with iPhone this morning,  have no idea about its screen, it is just so so",2
"Texting from New York, quite like T-Mobile, the coverage is simply good",4
"Checking messages from New York, quite like T-Mobile, my service is really good",4
"Texting from New York, extremely like T-Mobile, my speed is just awesome",4
"Checking Surface this morning,  have no idea about the size, it is just okey",2
"Just got Surface this morning, extremely dislike the screen, it is just awful",0
"Playing with iPhone this morning, sort of like the screen, it is awesome",3
"Making call from New York, quite like Verizon, the coverage is just good",4
"Playing with iPhone tonight, really dislike the size, it is bad",0
"Using Galaxy this morning, extremely love the camera, it is really awesome",4
"Texting from New York, really like AT&T, my coverage is simply good",4
"Just got Surface tonight, kind of like its screen, it is really good",3
"Using Scrfaue tonight, extremely like its size, it is good",4
"Checking Galaxy this morning, quite love its camera, it is just amazing",4
"Using Galaxy today, extremely like its battery, it is really amazing",4
"Playing with Nexus today, a little bit love the size, it is good",3
"Browsing from San Francisco, really love T-Mobile, my speed is just amazing",4
"Using iPhone today, sort of hate its screen, it is really awful",1
"Playing with iPhone this morning, sort of hate the screen, it is bad",1
"Browsing from New York, sort of dislike T-Mobile, the speed is really awful",1
"Trying to connect from San Francisco, kind of love AT&T, my speed is simply amazing",3
"Browsing from San Francisco, kind of like T-Mobile, the service is really good",3
"Just received Surface this morning, kind of like the screen, it is just amazing",3
"Trying to connect from Los Angeles, extremely love Verizon, my speed is simply amazing",4
"Just got iPhone today, sort of like its size, it is just good",3
"Texting from New York, really hate AT&T, the coverage is really bad",0
"Playing with iPhone today, quite love the screen, it is just good",4
"Making call from San Diego, kind of love Sprint, my speed is just good",3
"Playing with Nexus this morning, extremely hate its size, it is really awful",0
"Checking Surface this morning, sort of dislike its size, it is just bad",1
"Playing with Nexus today, a little bit like its size, it is just good",3
"Checking messages from New York, really like AT&T, my service is really awesome",4
"Checking Lumia today, sort of like its microphone, it is really amazing",3
"Playing with iPhone tonight, a little bit like its size, it is really good",3
"Just received Nexus tonight, a little bit like its screen, it is awesome",3
"Making call from Los Angeles,  have no idea about T-Mobile, my service is really alright",2
"Using XPeria this morning,  have no idea about the resolution, it is just so so",2
"Using Nexus this morning, quite love the size, it is just amazing",4
"Just got Surface today, really dislike the screen, it is terrible",0
"Just received Kindle tonight, a little bit dislike its battery, it is awful",1
"Checking Nexus tonight, sort of like its size, it is just good",3
"Texting from San Francisco, quite like Verizon, my coverage is really awesome",4
"Just got Nexus today, quite like its size, it is just amazing",4
"Trying to connect from Irvine, extremely hate miSpot, my service is just bad",0
"Trying to connect from New York, extremely dislike T-Mobile, my coverage is simply terrible",0
"Checking messages from San Francisco, really like AT&T, my coverage is just awesome",4
"Checking iPhone today, really dislike its size, it is bad",0
"Just got Surface tonight, really like the screen, it is amazing",4
"Browsing from San Francisco, a little bit dislike Verizon, my service is simply bad",1
"Making call from Seattle,  have no idea about Sprint, the service is just average",2
"Just got Surface tonight, quite hate the size, it is terrible",0
"Just got iPhone today, sort of dislike the screen, it is just awful",1
"Browsing from San Francisco, kind of love T-Mobile, the coverage is really good",3
"Playing with Surface today, sort of dislike its size, it is really awful",1
"Just received Surface this morning, really hate the screen, it is really awful",0
"Just got Surfaae tonight,  have no idea about the screen, it is really okey",2
"Using Kindle tonight,  have no idea about the battery, it is really alright",2
"Checking Nexus tonight, kind of hate the size, it is really bad",1
"Browsing from New York, kind of hate Verizon, my coverage is really awful",1
"Playing with Surface tonight, quite like its screen, it is amazing",4
"Playing with iPad this morning, really like the battery, it is really good",4
